ForeignWorker,Single,Age,LoanAmount,OwnsHouse,Unemployed,Gender_F,Gender_M,ForeignWorker_scaled,Single_scaled,Age_scaled,LoanAmount_scaled,OwnsHouse_scaled,Unemployed_scaled,Gender_F_scaled,Gender_M_scaled,errors,TP,TN,FN,FP,errors_scaled,TP_scaled,TN_scaled,FN_scaled,FP_scaled,Shap_ForeignWorker,Shap_Single,Shap_Age,Shap_LoanAmount,Shap_OwnsHouse,Shap_Unemployed,Shap_Gender_F,Shap_Gender_M,Shap_ForeignWorker_scaled,Shap_Single_scaled,Shap_Age_scaled,Shap_LoanAmount_scaled,Shap_OwnsHouse_scaled,Shap_Unemployed_scaled,Shap_Gender_F_scaled,Shap_Gender_M_scaled,Error_Type
0.0,0.0,35.0,3447.0,1.0,0.0,1.0,0.0,-0.19509557590325877,-0.9933554081432371,-0.024695662915359875,-6.2403308120876e-06,0.6133080702149822,-0.27435163058436723,1.3430332526624236,-1.3430332526624236,0.0,1.0,0.0,0.0,0.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,-0.37425278433140025,1.8150698409723531,-0.006232386017029719,-0.01866256053041975,-0.0868893027824545,-0.37661571742256156,-0.004703658419720123,-0.01719695626249833,0.0032835500987272075,-0.014716301997376635,-0.7008064952486552,-0.8657003032225147,-0.863729015927464,-0.8393934699584522,-0.8501729866679958,0.6531986823092676,0.5221499580292902,-0.868553950490308,TP
0.0,1.0,28.0,4169.0,1.0,0.0,0.0,1.0,-0.19509557590325877,1.0066890377827438,-0.6348238055301374,0.22526970198575516,0.6133080702149822,-0.27435163058436723,-0.7445832022532608,0.7445832022532608,0.0,1.0,0.0,0.0,0.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,-0.37425278433140025,1.8150698409723531,-0.0032436495364748397,0.03790086412531411,-0.029082007833054473,-0.30526169494553146,0.01853823302520434,-0.019390894157000016,-0.013693040554010733,-0.007501143457781349,1.5549025141824107,1.0617358186742183,1.2564724516473487,0.8404339350687074,1.3438045939858205,-0.16750091982308696,-1.5388780311512373,1.1513389576266282,TP
0.0,1.0,35.0,2346.0,1.0,0.0,0.0,1.0,-0.19509557590325877,1.0066890377827438,-0.024695662915359875,-0.34353645153654694,0.6133080702149822,-0.27435163058436723,-0.7445832022532608,0.7445832022532608,0.0,1.0,0.0,0.0,0.0,-0.7430386464748772,0.8559633562990502,-0.2682824960799889,-0.37425278433140025,-0.5509429871107887,-0.006232386017029719,-0.01866256053041975,-0.0868893027824545,-0.37661571742256156,-0.004703658419720123,-0.01719695626249833,0.0032835500987272075,-0.014716301997376635,-0.7008064952486552,-0.8657003032225147,-0.863729015927464,-0.8393934699584522,-0.8501729866679958,0.6531986823092676,0.5221499580292902,-0.868553950490308,TP
1.0,1.0,29.0,1103.0,1.0,0.0,0.0,1.0,5.1256928578219805,1.0066890377827438,-0.5476626422994548,-0.731373011508144,0.6133080702149822,-0.27435163058436723,-0.7445832022532608,0.7445832022532608,0.0,1.0,0.0,0.0,0.0,-0.7430386464748772,-1.1682743106243794,3.7274142540475053,-0.37425278433140025,-0.5509429871107887,-0.006232386017029719,-0.01866256053041975,-0.0868893027824545,-0.37661571742256156,-0.004703658419720123,-0.01719695626249833,0.0032835500987272075,-0.014716301997376635,-0.7008064952486552,-0.8657003032225147,-0.863729015927464,-0.8393934699584522,-0.8501729866679958,0.6531986823092676,0.5221499580292902,-0.868553950490308,TP
0.0,0.0,19.0,1980.0,0.0,0.0,1.0,0.0,-0.19509557590325877,-0.9933554081432371,-1.4192742746062799,-0.4577345053978539,-1.6305019427666603,-0.27435163058436723,1.3430332526624236,-1.3430332526624236,1.0,0.0,0.0,0.0,1.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,2.671990809063718,-0.5509429871107887,-0.0032436495364748397,0.03790086412531411,-0.029082007833054473,-0.30526169494553146,0.01853823302520434,-0.019390894157000016,-0.013693040554010733,-0.007501143457781349,1.5549025141824107,1.0617358186742183,1.2564724516473487,0.8404339350687074,1.3438045939858205,-0.16750091982308696,-1.5388780311512373,1.1513389576266282,FP
0.0,1.0,25.0,1258.0,1.0,0.0,0.0,1.0,-0.19509557590325877,1.0066890377827438,-0.8963072952221849,-0.6830104477144211,0.6133080702149822,-0.27435163058436723,-0.7445832022532608,0.7445832022532608,0.0,1.0,0.0,0.0,0.0,-0.7430386464748772,-1.1682743106243794,3.7274142540475053,-0.37425278433140025,-0.5509429871107887,-0.006232386017029719,-0.01866256053041975,-0.0868893027824545,-0.37661571742256156,-0.004703658419720123,-0.01719695626249833,0.0032835500987272075,-0.014716301997376635,-0.7008064952486552,-0.8657003032225147,-0.863729015927464,-0.8393934699584522,-0.8501729866679958,0.6531986823092676,0.5221499580292902,-0.868553950490308,TP
0.0,0.0,30.0,1620.0,1.0,0.0,1.0,0.0,-0.19509557590325877,-0.9933554081432371,-0.46050147906877237,-0.5700604600155328,0.6133080702149822,-0.27435163058436723,1.3430332526624236,-1.3430332526624236,1.0,0.0,0.0,1.0,0.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,-0.37425278433140025,1.8150698409723531,-0.006232386017029719,-0.01866256053041975,-0.0868893027824545,-0.37661571742256156,-0.004703658419720123,-0.01719695626249833,0.0032835500987272075,-0.014716301997376635,-0.7008064952486552,-0.8657003032225147,-0.863729015927464,-0.8393934699584522,-0.8501729866679958,0.6531986823092676,0.5221499580292902,-0.868553950490308,FN
0.0,0.0,25.0,1283.0,0.0,0.0,1.0,0.0,-0.19509557590325877,-0.9933554081432371,-0.8963072952221849,-0.6752100341993045,-1.6305019427666603,-0.27435163058436723,1.3430332526624236,-1.3430332526624236,1.0,0.0,0.0,1.0,0.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,-0.37425278433140025,1.8150698409723531,-0.0032436495364748397,0.03790086412531411,-0.029082007833054473,-0.30526169494553146,0.01853823302520434,-0.019390894157000016,-0.013693040554010733,-0.007501143457781349,1.5549025141824107,1.0617358186742183,1.2564724516473487,0.8404339350687074,1.3438045939858205,-0.16750091982308696,-1.5388780311512373,1.1513389576266282,FN
1.0,0.0,27.0,2132.0,0.0,0.0,1.0,0.0,5.1256928578219805,-0.9933554081432371,-0.7219849687608199,-0.41030799122594497,-1.6305019427666603,-0.27435163058436723,1.3430332526624236,-1.3430332526624236,0.0,1.0,0.0,0.0,0.0,-0.7430386464748772,0.8559633562990502,-0.2682824960799889,-0.37425278433140025,-0.5509429871107887,-0.0057908802521471885,0.0456363329928928,-0.03842175369235401,-0.2697425259664527,0.011483163856084845,-0.025124981430859183,0.007728454617282873,-0.007501143457781349,-0.3675859058655521,1.325327038723646,0.9139180578637284,1.6766316907601182,0.6778233581776509,-2.3124855869106185,1.0617796639797459,1.1513389576266282,TP
0.0,1.0,38.0,10623.0,0.0,0.0,0.0,1.0,-0.19509557590325877,1.0066890377827438,0.2367878267766876,2.239024455048255,-1.6305019427666603,-0.27435163058436723,-0.7445832022532608,0.7445832022532608,0.0,1.0,0.0,0.0,0.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,-0.37425278433140025,1.8150698409723531,-0.006232386017029719,-0.01866256053041975,-0.0868893027824545,-0.37661571742256156,-0.004703658419720123,-0.01719695626249833,0.0032835500987272075,-0.014716301997376635,-0.7008064952486552,-0.8657003032225147,-0.863729015927464,-0.8393934699584522,-0.8501729866679958,0.6531986823092676,0.5221499580292902,-0.868553950490308,TP
0.0,1.0,47.0,1984.0,0.0,0.0,0.0,1.0,-0.19509557590325877,1.0066890377827438,1.02123829585283,-0.4564864392354352,-1.6305019427666603,-0.27435163058436723,-0.7445832022532608,0.7445832022532608,0.0,1.0,0.0,0.0,0.0,-0.7430386464748772,0.8559633562990502,-0.2682824960799889,-0.37425278433140025,-0.5509429871107887,-0.0057908802521471885,0.0456363329928928,-0.03842175369235401,-0.2697425259664527,0.011483163856084845,-0.025124981430859183,0.007728454617282873,-0.007501143457781349,-0.3675859058655521,1.325327038723646,0.9139180578637284,1.6766316907601182,0.6778233581776509,-2.3124855869106185,1.0617796639797459,1.1513389576266282,TP
0.0,0.0,56.0,1538.0,1.0,0.0,1.0,0.0,-0.19509557590325877,-0.9933554081432371,1.8056887649289726,-0.5956458163451153,0.6133080702149822,-0.27435163058436723,1.3430332526624236,-1.3430332526624236,0.0,1.0,0.0,0.0,0.0,-0.7430386464748772,0.8559633562990502,-0.2682824960799889,-0.37425278433140025,-0.5509429871107887,-0.006232386017029719,-0.01866256053041975,-0.0868893027824545,-0.37661571742256156,-0.004703658419720123,-0.01719695626249833,0.0032835500987272075,-0.014716301997376635,-0.7008064952486552,-0.8657003032225147,-0.863729015927464,-0.8393934699584522,-0.8501729866679958,0.6531986823092676,0.5221499580292902,-0.868553950490308,TP
0.0,1.0,74.0,4526.0,1.0,0.0,0.0,1.0,-0.19509557590325877,1.0066890377827438,3.3745897030812575,0.3366596069816201,0.6133080702149822,-0.27435163058436723,-0.7445832022532608,0.7445832022532608,0.0,1.0,0.0,0.0,0.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,-0.37425278433140025,1.8150698409723531,-0.0032436495364748397,0.03790086412531411,-0.029082007833054473,-0.30526169494553146,0.01853823302520434,-0.019390894157000016,-0.013693040554010733,-0.007501143457781349,1.5549025141824107,1.0617358186742183,1.2564724516473487,0.8404339350687074,1.3438045939858205,-0.16750091982308696,-1.5388780311512373,1.1513389576266282,TP
0.0,1.0,28.0,5371.0,1.0,0.0,0.0,1.0,-0.19509557590325877,1.0066890377827438,-0.6348238055301374,0.6003135837925611,0.6133080702149822,-0.27435163058436723,-0.7445832022532608,0.7445832022532608,0.0,1.0,0.0,0.0,0.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,-0.37425278433140025,1.8150698409723531,-0.006232386017029719,-0.01866256053041975,-0.0868893027824545,-0.37661571742256156,-0.004703658419720123,-0.01719695626249833,0.0032835500987272075,-0.014716301997376635,-0.7008064952486552,-0.8657003032225147,-0.863729015927464,-0.8393934699584522,-0.8501729866679958,0.6531986823092676,0.5221499580292902,-0.868553950490308,TP
1.0,0.0,37.0,609.0,1.0,0.0,1.0,0.0,5.1256928578219805,-0.9933554081432371,0.14962666354600512,-0.885509182566848,0.6133080702149822,-0.27435163058436723,1.3430332526624236,-1.3430332526624236,0.0,1.0,0.0,0.0,0.0,1.3458250183139342,-1.1682743106243794,-0.2682824960799889,2.671990809063718,-0.5509429871107887,-0.0032436495364748397,0.03790086412531411,-0.029082007833054473,-0.30526169494553146,0.01853823302520434,-0.019390894157000016,-0.013693040554010733,-0.007501143457781349,1.5549025141824107,1.0617358186742183,1.2564724516473487,0.8404339350687074,1.3438045939858205,-0.16750091982308696,-1.5388780311512373,1.1513389576266282,TP
